id,type,name,produce_nomenclature,wholesale_nomenclature,retail_nomenclature,produce_unit,produce_normalization_factor,produce_unit_price,produce_price,produce_comments,produce_source,wholesale_unit,wholesale_normalization_factor,wholesale_unit_price,wholesale_price,wholesale_comments,wholesale_source,retail_unit,retail_price,retail_source
1,Зеленчуци,Домати,"Домати, оранжерийни",Домати,"Домати, червени, насипни 1кг",т,0.0010,990.92,0.99,,nsi-Q1/2026,кг,1.00,2.26,2.26,,dksbt.bg - 15/05,кг,3.55,merim.bg - 15/05/2026
2,Зеленчуци,Краставици,"Краставици и корнишони, оранжерийни",Краставици,"Краставици, насипни 1кг",т,0.0010,1639.49,1.64,,nsi-Q1/2026,кг,1.00,1.75,1.75,,dksbt.bg - 15/05,кг,2.93,merim.bg - 15/05/2026
3,Зеленчуци,Картофи,Картофи,Картофи,"Картофи, насипни 1кг",т,0.0010,390.06,0.39,,nsi-Q1/2026,кг,1.00,0.56,0.56,,dksbt.bg - 15/05,кг,1.43,merim.bg - 15/05/2026
4,Зеленчуци,Зеле,"Зеле главесто, бяло",Зеле,Бяло зеле 1кг,т,0.0010,378.05,0.38,,nsi-Q1/2026,кг,1.00,0.77,0.77,,dksbt.bg - 15/05,кг,1.11,merim.bg - 15/05/2026
5,Зеленчуци,Моркови,Моркови,Моркови,"Моркови, насипни 1кг",т,0.0010,362.44,0.36,,nsi-Q1/2026,кг,1.00,0.74,0.74,,dksbt.bg - 15/05,кг,1.20,merim.bg - 15/05/2026
6,Зеленчуци,Лук кромид зрял,"Лук кромид, зрял",Лук кромид зрял,"Кромид лук, насипен 1кг",т,0.0010,277.98,0.28,,nsi-Q1/2026,кг,1.00,0.52,0.52,,dksbt.bg - 15/05,кг,0.97,merim.bg - 15/05/2026
7,Плодове,Лимони,Лимони,Лимони,"Лимони, насипни 1кг",т,0.0010,1400.00,1.40,,https://agro-market24.eu/fruits-lemons-price-buy-sell-34,кг,1.00,2.30,2.30,,dksbt.bg - 15/05,кг,3.11,merim.bg - 15/05/2026
8,Плодове,Банани,Банани,Банани,Банани 1кг,т,0.0010,770.00,0.77,,search,кг,1.00,1.53,1.53,,dksbt.bg - 15/05,кг,1.97,merim.bg - 15/05/2026
9,Плодове,Портокали,Портокали,Портокали,"Портокали, насипни 1кг",т,0.0010,1000.00,1.00,,https://agro-market24.eu/fruits-oranges-price-buy-sell-48,кг,1.00,1.35,1.35,,dksbt.bg - 15/05,кг,1.86,merim.bg - 15/05/2026
10,Плодове,Ябълки,Ябълки,Ябълки,"Ябълки, насипни 1кг",т,0.0010,542.62,0.54,,nsi-Q1/2026,кг,1.00,1.32,1.32,,dksbt.bg - 15/05,кг,1.94,merim.bg - 15/05/2026
11,Пакетирани,Захар,Захар,Захар /пакет 1кг/,Бяла захар 1 кг,т,0.0010,512.00,0.51,,https://agridata.ec.europa.eu/extensions/DashboardSugar/SugarPrice.html,кг,1.00,0.90,0.90,,dksbt.bg - 15/05,кг,1.12,merim.bg - 15/05/2026
12,Пакетирани,Фасул зрял,"Фасул, зрял",Фасул зрял,"Боб, пакетиран 1 кг",кг,1.0000,0.90,0.90,,https://agro-market24.eu/vegetables-bean-price-buy-sell-67,кг,1.00,2.05,2.05,,dksbt.bg - 15/05,кг,3.01,merim.bg - 15/05/2026
13,Пакетирани,Ориз,Неолющен ориз,Ориз,Бисерен ориз 1 кг,т,0.0007,511.34,0.34,2/3 ratio,nsi-Q1/2026,кг,1.00,1.63,1.63,,dksbt.bg - 15/05,кг,2.14,merim.bg - 15/05/2026
14,Пакетирани,Брашно,Твърда пшеница,"Брашно тип ""500"" /1кг/",Брашно тип 500 1 кг,т,0.0010,199.53,0.20,,nsi-Q1/2026,кг,1.00,0.76,0.76,,dksbt.bg - 15/05,кг,1.00,merim.bg - 15/05/2026
15,Пакетирани,Олио,Семена от слънчоглед,Олио /бутилка 1л/,Олио слънчогледово 1 л,т,0.0010,504.04,0.50,,nsi-Q1/2026,бр.,1.00,1.81,1.81,,dksbt.bg - 15/05,л,2.24,merim.bg - 15/05/2026
16,Млечни и яйца,Яйца,Кокоши яйца за консумация,"Яйца /размер ""M""/",Яйца размер М от 6 бр. до 10 бр. Подово отглеждане,хил.бр,0.0100,156.38,1.56,бр. по 10,nsi-Q1/2026,бр.,10.00,0.22,2.20,бр. х 10,dksbt.bg - 15/05,6 бр. до 10 бр.,2.43,merim.bg - 15/05/2026
17,Млечни и яйца,Кашкавал,"Краве мляко,сурово","Кашкавал ""Витоша""",Кашкавал от краве мляко насипно 1 кг,хил.л,0.0100,502.77,5.03,10л за кг,nsi-Q1/2026,кг,1.00,9.60,9.60,,dksbt.bg - 15/05,кг,11.34,merim.bg - 15/05/2026
